codigo,grupo,descricao,umidade_pct,energia_kcal,energia_kj,proteina_g,lipideos_g,colesterol_mg,carboidrato_g,fibra_g,cinzas_g,calcio_mg,magnesio_mg,manganes_mg,fosforo_mg,ferro_mg,sodio_mg,potassio_mg,cobre_mg,zinco_mg,retinol_mcg,re_mcg,rae_mcg,tiamina_mg,riboflavina_mg,piridoxina_mg,niacina_mg,vitamina_c_mg
1,Cereais e derivados,"Arroz, integral, cozido",70.14,123.5,516.9,2.59,1,,25.81,2.75,0.46,5.2,58.7,0.627,105.85,0.26,1.24,75.15,0.02,0.68,,,,0.08,0,0.08,0,
2,Cereais e derivados,"Arroz, integral, cru",12.18,359.7,1504.9,7.32,1.86,,77.45,4.82,1.18,7.82,109.71,2.993,250.87,0.95,1.65,173.34,0.075,1.4,,,,0.262,0,0.175,4.183,
3,Cereais e derivados,"Arroz, tipo 1, cozido",69.11,128.3,536.6,2.52,0.23,,28.06,1.56,0.08,3.54,2.25,0.297,17.95,0.08,1.2,14.67,0.015,0.49,,,,0,0,0,0,
4,Cereais e derivados,"Arroz, tipo 1, cru",13.22,357.8,1497,7.16,0.34,,78.76,1.64,0.52,4.41,30.38,1.032,104.21,0.68,1.02,62.5,0.115,1.22,,,,0.163,0,0.069,1.117,
5,Cereais e derivados,"Arroz, tipo 2, cozido",68.73,130.1,544.4,2.57,0.36,,28.19,1.07,0.15,3.33,6.05,0.371,21.52,0.05,1.96,20.2,0.041,0.55,,,,0,0,0,0,
6,Cereais e derivados,"Arroz, tipo 2, cru",13.16,358.1,1498.4,7.24,0.28,,78.88,1.72,0.44,4.83,29.24,0.828,82.04,0.6,0.57,57.28,0.052,1.27,,,,0.163,0,0.049,0.918,
7,Cereais e derivados,"Aveia, flocos, crua",9.13,393.8,1647.8,13.92,8.5,,66.64,9.13,1.81,47.89,118.76,1.895,153.4,4.45,4.63,336.33,0.44,2.63,,,,0.553,0.03,0,4.47,1.35
8,Cereais e derivados,"Biscoito, doce, maisena",3.22,442.8,1852.8,8.07,11.97,,75.23,2.1,1.51,54.45,37.14,0.778,166.1,1.76,352.03,141.64,0.17,1.03,,,,1.01,0.417,0.23,3.907,6.22
9,Cereais e derivados,"Biscoito, doce, recheado com chocolate",2.18,471.8,1974.1,6.4,19.58,0,70.55,2.96,1.29,27.23,47.98,0.588,139.45,2.27,239.2,232.4,0.273,0.99,0,,,0.317,0.393,0.457,2.523,3.53
10,Cereais e derivados,"Biscoito, doce, recheado com morango",2.73,471.2,1971.4,5.72,19.57,0,71.01,1.53,0.96,35.78,27.1,0.659,137.74,1.48,229.82,113.01,0.127,0.73,0,,,0.897,0.42,0.21,1.497,0
11,Cereais e derivados,"Biscoito, doce, wafer, recheado de chocolate",1.17,502.5,2102.3,5.56,24.67,0,67.54,1.8,1.06,23.34,47.85,0.435,124.2,2.44,137.24,240.45,0.263,0.87,0,,,0.367,0.03,0.297,1.12,0
12,Cereais e derivados,"Biscoito, doce, wafer, recheado de morango",1.17,513.4,2148.3,4.52,26.4,1.27,67.35,0.82,0.56,13.71,18.54,0.28,73.16,1.09,119.9,74.84,0.083,0.51,0,,,0.357,0,0.94,0.373,
13,Cereais e derivados,"Biscoito, salgado, cream cracker",4.06,431.7,1806.4,10.06,14.44,,68.73,2.51,2.72,20,39.75,0.69,148.26,2.2,854.36,180.61,0.18,1.14,,,,0.71,0.13,0.17,7.137,
14,Cereais e derivados,"Bolo, mistura para",1,418.6,1751.6,6.16,6.13,0,84.71,1.7,2,58.88,27.92,0.463,332.66,1.21,462.88,75.36,0.153,0.58,,,,0.177,0,1.503,1.517,0
15,Cereais e derivados,"Bolo, pronto, aipim",34.13,323.9,1355,4.42,12.75,73.2,47.86,0.69,0.84,85.02,10.34,0.107,122.19,0.49,111.01,134.82,0.052,0.42,0,,,0.13,0.07,0,0,0
16,Cereais e derivados,"Bolo, pronto, chocolate",19.28,410,1715.5,6.22,18.47,76.8,54.72,1.43,1.31,74.58,27.69,0.379,196.98,2.13,283.3,211.76,0.046,0.71,0,,,0.133,0.093,0.05,0,0
17,Cereais e derivados,"Bolo, pronto, coco",29.32,333.4,1395.1,5.67,11.3,63.21,52.28,1.05,1.44,57.11,16.25,0.399,303.4,0.85,190.34,143.29,0.089,0.68,0,0,0,0.153,0.057,0,0,0
18,Cereais e derivados,"Bolo, pronto, milho",36.69,311.4,1302.8,4.8,12.41,81.69,45.11,0.71,0.98,82.58,10.25,0.108,128.2,0.65,133.81,118.43,0.04,0.43,56.89,,,0.11,0.05,0,0,0
19,Cereais e derivados,"Canjica, branca, crua",13.56,357.6,1496.2,7.2,0.97,,78.06,5.5,0.21,1.96,12.32,0.086,48.5,0.32,0.79,92.95,0.045,0.36,,,,0,0,0,0,0
20,Cereais e derivados,"Canjica, com leite integral",72.49,112.5,470.5,2.36,1.24,1.35,23.63,1.22,0.27,42.56,5.84,0.02,40.58,0.06,27.59,69.81,0.026,0.28,0,,,0,0.04,0,0,0
21,Cereais e derivados,"Cereais, milho, flocos, com sal",9.29,369.6,1546.4,7.29,1.6,,80.83,5.29,0.98,1.81,20.1,0,90.77,0.52,271.74,68.66,0,0.61,,,,0.12,0,0.06,0,0
22,Cereais e derivados,"Cereais, milho, flocos, sem sal",11.22,363.3,1520.2,6.88,1.18,,80.45,1.84,0.27,1.97,16.55,0,58.36,1.69,30.97,28.7,0.24,0.33,,,,0.05,0,0.04,0,0
23,Cereais e derivados,"Cereais, mingau, milho, infantil",4.7,394.4,1650.3,6.43,1.09,,87.27,3.21,0.51,218.81,16.03,0.106,169.16,3.03,399.4,82.02,0.043,0.36,21.42,,,3.723,0.467,5.077,24.163,109.37
24,Cereais e derivados,"Cereais, mistura para vitamina, trigo, cevada e aveia",4.37,381.1,1594.7,8.9,2.12,,81.62,4.98,3,584.25,72.27,2.284,515.04,12.64,1163.26,244.36,0.206,2.02,0,,,0.76,0.877,1.487,7.457,13.11
25,Cereais e derivados,"Cereal matinal, milho",5.53,365.4,1528.6,7.16,0.96,,83.82,4.12,2.54,142.92,10.93,0.059,100.8,3.05,654.54,83.09,0.06,7.63,,30.92,15.46,0.76,1.02,2.247,11.04,17.29
26,Cereais e derivados,"Cereal matinal, milho, açúcar",4.27,376.6,1575.5,4.74,0.67,,88.84,2.11,1.48,56.42,7.94,0.134,43.18,3.9,405.31,51.6,0.04,8.48,,30.92,15.46,0.727,1.11,0.787,10.133,14.55
27,Cereais e derivados,"Creme de arroz, pó",7.33,386,1615,7.03,1.23,,83.87,1.07,0.54,7.09,50.5,1.237,153.02,0.63,1.03,114.68,0.038,1.86,,,,0.217,0,0.053,0,0
28,Cereais e derivados,"Creme de milho, pó",5.65,333,1393.4,4.82,1.64,,86.15,3.72,1.74,323.16,30.06,0.2,303.27,4.26,593.79,165.72,0.043,0.78,,,,0.74,0,2.053,0,96.34
29,Cereais e derivados,"Curau, milho verde",81.56,78.4,328.2,2.36,1.64,4.74,13.94,0.46,0.49,52.6,15.96,0.056,74.66,0.45,20.51,161.84,0.025,0.4,12.07,20.07,16.07,0.037,0.07,0,0,0
30,Cereais e derivados,"Curau, milho verde, mistura para",3.92,402.3,1683.2,2.22,13.37,,79.82,2.52,0.67,30.88,8.5,0.055,44.62,0.86,222.93,55.34,0.029,0.24,,,,0.133,0,0,0,0
31,Cereais e derivados,"Farinha, de arroz, enriquecida",12.69,363.1,1519,1.27,0.3,,85.5,0.58,0.23,1.12,4.3,0.042,35.96,31.38,17.1,12.54,0,8.48,,,,3.233,0,3.467,24.423,173.59
32,Cereais e derivados,"Farinha, de centeio, integral",10.78,335.8,1404.9,12.52,1.75,,73.3,15.48,1.66,33.92,120.23,3.857,339.99,4.73,41.38,333.62,0.563,2.66,,,,0.287,0.03,0.08,0,0
33,Cereais e derivados,"Farinha, de milho, amarela",11.77,350.6,1466.9,7.19,1.47,,79.08,5.49,0.49,1.28,30.95,0,84.22,2.25,44.93,57.85,0.267,0.6,,18,9,0.253,0,0.253,0,0
34,Cereais e derivados,"Farinha, de rosca",9.81,370.6,1550.5,11.38,1.46,,75.79,4.82,1.56,35.3,56.88,1.621,194.96,6.73,332.5,212.14,0.263,1.67,,,,0.253,0,0.09,0,0
35,Cereais e derivados,"Farinha, de trigo",12.98,360.5,1508.2,9.79,1.37,,75.09,2.35,0.77,17.86,31,0.46,114.74,0.95,0.74,151.37,0.15,0.83,,,,0.313,0,0,0.89,0
36,Cereais e derivados,"Farinha, láctea, de cereais",2.7,414.9,1735.7,11.88,5.79,11.27,77.77,1.94,1.86,196.06,57.69,1.489,296.44,8.72,125.07,365.6,0.193,1.73,492.25,,,1.43,1.133,1.137,9.5,24.31
37,Cereais e derivados,"Lasanha, massa fresca, cozida",59.65,163.8,685.2,5.81,1.16,,32.52,1.64,0.86,9.97,3.54,0.195,42.38,1.19,206.77,53.91,0.071,0.41,,,,0.04,0,0,3.96,
38,Cereais e derivados,"Lasanha, massa fresca, crua",44.99,220.3,921.8,7.01,1.34,,45.06,1.61,1.61,16.55,12.59,0.345,81.96,1.87,666.71,136.61,0.098,0.76,,,,0.08,0,0,0,
39,Cereais e derivados,"Macarrão, instantâneo",5.97,435.9,1823.7,8.79,17.24,,62.43,5.61,5.57,17.63,19.37,0.253,112.15,0.8,1515.53,147.92,0.103,0.5,,,,1.18,0.04,0.533,9.367,0
40,Cereais e derivados,"Macarrão, trigo, cru",10.24,371.1,1552.8,10,1.3,,77.94,2.93,0.51,17.3,27.69,0.528,99.81,0.88,7.17,147.06,0.15,0.78,,,,0.177,0.02,0,3.567,0
41,Cereais e derivados,"Macarrão, trigo, cru, com ovos",10.56,370.6,1550.5,10.32,1.97,17.57,76.62,2.3,0.52,19.45,0,0.397,118.48,0.92,14.74,134.1,0.137,0.81,0,,,0.107,0.05,0.03,4.37,0
42,Cereais e derivados,"Milho, amido, cru",12.18,361.4,1512,0.6,0,,87.15,0.74,0.07,1.06,3.03,0.018,12.6,0.13,8.08,8.54,0.015,0.08,,,,0,0,0,0,0
43,Cereais e derivados,"Milho, fubá, cru",11.45,353.5,1479,7.21,1.9,,78.87,4.71,0.56,2.67,41.23,0.339,107.84,0.85,0,168.33,0.08,1.09,,26,13,0.253,0,0,0.747,0
44,Cereais e derivados,"Milho, verde, cru",63.54,138.2,578.1,6.59,0.61,,28.56,3.92,0.71,1.61,32.58,0.118,112.7,0.41,1.12,184.82,0.05,0.52,,32,16,0.3,0,0.04,0,0
45,Cereais e derivados,"Milho, verde, enlatado, drenado",76.22,97.6,408.2,3.23,2.35,,17.14,4.64,1.06,2.17,20.38,0.093,61.31,0.59,260.35,162.02,0.046,0.5,,48,24,0,0.05,0,3.737,1.74
46,Cereais e derivados,"Mingau tradicional, pó",8.14,373.4,1562.4,0.58,0.37,,89.34,0.88,1.57,522.05,4.28,0,273.32,41.99,14.86,0,0,15.21,1533.24,,,3.407,0,3.11,19.393,0
47,Cereais e derivados,"Pamonha, barra para cozimento, pré-cozida",61.31,171.2,716.4,2.55,4.85,,30.68,2.37,0.61,4.16,15.35,0.125,54.59,0.36,131.99,125.35,0.034,0.42,,,,0,0,0,0,0
48,Cereais e derivados,"Pão, aveia, forma",19.92,343.1,1435.5,12.35,5.69,0,59.57,5.98,2.47,108.69,56.68,1.082,182.2,4.73,605.76,210.08,0.136,1.73,0,,,0.087,0.03,0.083,0,0
49,Cereais e derivados,"Pão, de soja",26.03,308.7,1291.7,11.34,3.58,,56.51,5.71,2.53,90.24,48.32,0.569,153.18,3.33,662.54,296.35,0.163,1.46,,,,0.07,0.04,0.793,0,0
50,Cereais e derivados,"Pão, glúten, forma",40.67,253,1058.5,11.95,2.73,,44.12,2.48,0.53,155.72,24.24,0.51,105.26,5.71,22.05,64.73,0.062,1.28,,,,0.043,0.03,0,0,0
51,Cereais e derivados,"Pão, milho, forma",30.42,292,1221.8,8.3,3.11,5.68,56.4,4.3,1.77,77.85,29.42,0.366,110.1,3.04,506.64,89.02,0.1,0.82,0,,,0.08,0,0.083,0,0
52,Cereais e derivados,"Pão, trigo, forma, integral",34.72,253.2,1059.4,9.43,3.65,,49.94,6.88,2.26,131.76,60.43,1.616,193.44,2.99,506.1,162.87,0.146,1.59,,,,0.077,0.04,0.147,0,0
53,Cereais e derivados,"Pão, trigo, francês",28.48,299.8,1254.4,7.95,3.1,,58.65,2.31,1.81,15.75,25.46,0.463,94.74,1,647.67,142.2,0.13,0.76,2.99,,,0.387,0.67,0.6,2.337,
54,Cereais e derivados,"Pão, trigo, sovado",25.76,311,1301.1,8.4,2.84,16.56,61.45,2.43,1.55,51.62,22.22,0.314,100.66,2.27,430.79,91.17,0,2.66,0,,,0.08,0.043,0.147,0,0
55,Cereais e derivados,"Pastel, de carne, cru",34.4,288.7,1207.9,10.74,8.79,18.2,42.02,1.04,4.05,16.69,17.7,0.343,117.38,1.99,1309.27,165.61,0.11,1.66,0,,,0.06,0.03,0,1.58,0
56,Cereais e derivados,"Pastel, de carne, frito",22.92,388.4,1625,10.1,20.14,25.34,43.77,0.99,3.07,12.55,14.44,0.216,90.03,2.51,1039.89,155.64,0.116,1.15,0,,,0.063,0.05,0,1.83,
57,Cereais e derivados,"Pastel, de queijo, cru",31.28,308.5,1290.7,9.85,9.63,14.35,45.95,1.11,3.28,154.7,15.81,0.245,168.12,0.99,984.57,102.58,0.099,0.97,0,,,0.073,0.033,0,0,0
58,Cereais e derivados,"Pastel, de queijo, frito",17.54,422.1,1766.1,8.71,22.67,15.38,48.13,0.94,2.95,126.13,14.74,0.201,123.81,1.34,821.38,123.75,0.099,0.76,17.58,,,0.09,0.04,0,0,0
59,Cereais e derivados,"Pastel, massa, crua",27.07,310.2,1297.9,6.9,5.48,,57.38,1.41,3.17,12.61,14.43,0.383,72.55,1.06,1344.2,166.68,0.105,0.61,,,,0.147,0,0,0,
60,Cereais e derivados,"Pastel, massa, frita",0.97,569.7,2383.5,6.02,40.86,,49.34,1.31,2.81,11.27,12.74,0.356,62.36,1.45,1174.67,142.55,0.079,0.52,,,,0.163,0,0,0,
61,Cereais e derivados,"Pipoca, com óleo de soja, sem sal",2.82,448.3,1875.8,9.93,15.94,,70.31,14.34,1,2.83,90.76,0.654,225.13,1.16,4.32,255.96,0.461,2.05,,,,0.033,0.03,0,0,0
62,Cereais e derivados,"Polenta, pré-cozida",72.74,102.7,429.9,2.29,0.3,,23.31,2.4,1.35,1.09,4.43,0,16.79,0,441.89,99.64,0.044,0.05,,,,0.043,0,0,0,0
63,Cereais e derivados,"Torrada, pão francês",9.05,377.4,1579.1,10.52,3.3,,74.56,3.4,2.57,18.74,31.6,0.553,113.92,1.24,829.49,189.49,0.161,0.91,,,,0.377,0,0,0,0
64,"Verduras, hortaliças e derivados","Abóbora, cabotian, cozida",86.35,48,201,1.44,0.73,,10.76,2.46,0.71,7.63,9.11,0.261,32.59,0.35,1.45,199.1,0.061,0.29,,,,0.077,0,0.07,0,7.46
65,"Verduras, hortaliças e derivados","Abóbora, cabotian, crua",88.52,38.6,161.5,1.75,0.54,,8.36,2.17,0.84,17.96,8.82,0.11,25.77,0.37,0,350.56,0.06,0.32,,446,223,0,0,0.1,0,5.09
66,"Verduras, hortaliças e derivados","Abóbora, menina brasileira, crua",95.69,13.6,56.9,0.61,0,,3.3,1.17,0.36,8.74,4.09,0.01,11.62,0.15,0,164.6,0.02,0,,1108,554,0.07,0,0.04,0,1.5
67,"Verduras, hortaliças e derivados","Abóbora, moranga, crua",95.87,12.4,51.7,0.96,0.06,,2.67,1.7,0.44,3.05,1.85,0.01,7.91,0,0,124.87,0.05,0.07,,278,139,0,0,0.063,0,9.65
68,"Verduras, hortaliças e derivados","Abóbora, moranga, refogada",92.46,29,121.4,0.39,0.8,,5.98,1.55,0.37,19.08,7.49,0.016,11.65,0.11,3.03,183.19,0.043,0.08,,95.33,47.67,0.053,0,0.05,0,6.73
69,"Verduras, hortaliças e derivados","Abóbora, pescoço, crua",92.49,24.5,102.4,0.67,0.12,,6.12,2.3,0.6,8.81,7.42,0.071,31.62,0.28,0.74,263.88,0.091,0.18,,,,0,0,0.06,0,2.09
70,"Verduras, hortaliças e derivados","Abobrinha, italiana, cozida",95.28,15,62.9,1.12,0.2,,2.98,1.59,0.42,16.73,16.86,0.106,22.49,0.16,0.83,125.88,0.012,0.26,,,,0.05,0,0.06,0,2.13
71,"Verduras, hortaliças e derivados","Abobrinha, italiana, crua",93.86,19.3,80.7,1.14,0.14,,4.29,1.35,0.56,15.13,19.95,0.09,32.02,0.24,0,253.38,0.047,0.17,,40.5,20.25,0,0.057,0.03,0,6.87
72,"Verduras, hortaliças e derivados","Abobrinha, italiana, refogada",93.49,24.4,102.2,1.07,0.82,,4.19,1.38,0.43,20.67,12.67,0.135,31.83,0.36,2.21,193.63,0.023,0.27,,41.58,20.79,0.043,0,0,0,7.53
73,"Verduras, hortaliças e derivados","Abobrinha, paulista, crua",90.85,30.8,128.9,0.64,0.14,,7.87,2.6,0.5,18.67,9.39,0.111,32.75,0.17,0.5,212.87,0.096,0.18,,,,0,0,0.033,0,17.55
74,"Verduras, hortaliças e derivados","Acelga, crua",93.19,20.9,87.6,1.44,0.11,,4.63,1.12,0.63,42.98,10.4,0.107,40.03,0.27,1.18,239.82,0.104,0.31,,,,0.04,0,0.157,0,22.55
75,"Verduras, hortaliças e derivados","Agrião, cru",93.94,16.6,69.4,2.69,0.24,,2.25,2.14,0.88,132.53,18.16,0.28,50.59,3.11,7.46,217.66,0.103,0.72,,458,229,0.107,0.23,0.093,1.193,60.1
76,"Verduras, hortaliças e derivados","Aipo, cru",93.83,19.1,79.9,0.76,0.07,,4.27,0.96,1.07,65.22,8.86,0.178,28.05,0.72,9.52,273.6,0.314,0.14,,916,458,0,0,0.18,0,5.88
77,"Verduras, hortaliças e derivados","Alface, americana, crua",97.17,8.8,36.8,0.61,0.13,,1.75,1.02,0.35,14.44,5.74,0.118,19.38,0.27,7.31,136,0.022,0.23,,,,0.03,0,0.037,0,10.96
78,"Verduras, hortaliças e derivados","Alface, crespa, crua",96.09,10.7,44.7,1.35,0.16,,1.7,1.83,0.7,37.98,10.97,0.2,25.81,0.4,3.38,267.13,0.03,0.25,,234,117,0.11,0.123,0,1.093,15.58
79,"Verduras, hortaliças e derivados","Alface, lisa, crua",95,13.8,57.8,1.69,0.12,,2.43,2.33,0.76,27.51,9.11,0.334,26.13,0.61,4.23,348.71,0.033,0.35,,368,184,0.087,0.083,0.07,0.75,21.39
80,"Verduras, hortaliças e derivados","Alface, roxa, crua",95.73,12.7,53.2,0.91,0.19,,2.49,2.01,0.68,33.83,9.31,0.116,51.13,2.48,7.12,308.44,0.037,0.23,,312.42,156.21,0,0,0,0,13.47
81,"Verduras, hortaliças e derivados","Alfavaca, crua",90.21,29.2,122.1,2.66,0.48,,5.24,4.14,1.42,258.5,84.24,0.145,49.74,1.26,4.55,260.72,0.152,0.71,,,,0,0.12,0.557,0,0
82,"Verduras, hortaliças e derivados","Alho, cru",67.55,113.1,473.3,7.01,0.22,,23.91,4.32,1.32,13.56,21.29,0.24,149.09,0.8,5.36,534.89,0.15,0.82,,,,0.183,0,0.443,0,
83,"Verduras, hortaliças e derivados","Alho-poró, cru",90.95,31.5,131.8,1.41,0.14,,6.88,2.51,0.62,33.62,10.69,0.102,36.49,0.64,1.76,224.47,0.288,0.24,,16.17,8.08,0.063,0,0.083,0.34,14.15
84,"Verduras, hortaliças e derivados","Almeirão, cru",93.67,18,75.5,1.77,0.22,,3.34,2.59,1.01,19.5,21.11,0.167,39.66,0.74,2.35,369.12,0.1,0.29,,566,283,0.097,0.177,0,0.627,1.69
85,"Verduras, hortaliças e derivados","Almeirão, refogado",86.54,65.1,272.3,1.7,4.85,,5.7,3.43,1.2,63.4,17.28,0.279,30.87,1.55,14.52,315.36,0.058,0.19,,,,0.03,0.06,0.047,4.033,1.47
86,"Verduras, hortaliças e derivados","Batata, baroa, cozida",79.26,80.1,335.2,0.85,0.17,,18.95,1.76,0.77,11.85,7.58,0.218,29.48,0.42,2.1,258.33,0.147,0.38,,,,0.06,0,0,1.98,17.1
87,"Verduras, hortaliças e derivados","Batata, baroa, crua",73.69,101,422.5,1.05,0.17,,23.98,2.06,1.11,17.13,11.99,0.067,45.2,0.3,0,505.18,0.047,0.2,,24.5,12.25,0.047,0,0.123,0,7.55
88,"Verduras, hortaliças e derivados","Batata, doce, cozida",80.42,76.8,321.2,0.64,0.09,,18.42,2.21,0.42,17.15,11.16,0.139,15.39,0.19,2.7,148.44,0.06,0.12,,,,0.083,0,0.05,2.573,23.79
89,"Verduras, hortaliças e derivados","Batata, doce, crua",69.51,118.2,494.7,1.26,0.13,,28.2,2.57,0.9,21.11,16.89,0.177,36.46,0.39,8.77,340.2,0.11,0.2,,,,0.057,0,0.1,0,16.48
90,"Verduras, hortaliças e derivados","Batata, frita, tipo chips, industrializada",2.7,542.7,2270.8,5.58,36.62,,51.22,2.46,3.88,11.6,24.24,0.231,96.5,0.7,607.4,1014.33,0.121,0.59,,,,0.197,0,0.13,2.613,0
91,"Verduras, hortaliças e derivados","Batata, inglesa, cozida",86.36,51.6,215.8,1.16,0,,11.94,1.34,0.51,3.52,5.42,0.066,24.34,0.19,2.29,161.33,0.058,0.19,,,,0.05,0,0.083,0,3.76
92,"Verduras, hortaliças e derivados","Batata, inglesa, crua",82.87,64.4,269.3,1.77,0,,14.69,1.16,0.64,3.55,14.58,0.1,38.54,0.36,0,302.05,0.093,0.24,,,,0.1,0,0.15,0,31.08
93,"Verduras, hortaliças e derivados","Batata, inglesa, frita",44.12,267.2,1117.8,4.97,13.11,,35.64,8.06,2.16,6.28,14.11,0.148,69.67,0.44,1.91,488.94,0.103,0.38,,,,0.173,0,0.103,2.507,16.34
94,"Verduras, hortaliças e derivados","Batata, inglesa, sauté",83.09,67.9,284,1.29,0.9,,14.09,1.38,0.63,4.18,6.46,0.084,31.97,0.25,8.18,199.48,0.051,0.21,,,,0.067,0,0.093,1.383,0
95,"Verduras, hortaliças e derivados","Berinjela, cozida",94.43,18.8,78.8,0.68,0.15,,4.47,2.52,0.27,10.77,8.82,0.111,15.03,0.22,1.32,105.48,0.044,0.13,,,,0.04,0,0,0,0
96,"Verduras, hortaliças e derivados","Berinjela, crua",93.8,19.6,82.1,1.22,0.1,,4.43,2.87,0.45,9.22,12.91,0.1,20.46,0.25,0,204.55,0.063,0.12,,24,12,0.043,0.047,0,0,3.01
97,"Verduras, hortaliças e derivados","Beterraba, cozida",90.57,32.2,134.5,1.29,0.09,,7.23,1.88,0.81,15.26,16.54,0.189,30.13,0.24,22.76,245.48,0.039,0.35,,,,0.09,0,0,0,1.24
98,"Verduras, hortaliças e derivados","Beterraba, crua",85.98,48.8,204.3,1.95,0.09,,11.11,3.37,0.87,18.11,24.43,1.23,19.39,0.32,9.72,375.07,0.077,0.52,,,,0.04,0,0.043,0,3.12
99,"Verduras, hortaliças e derivados","Biscoito, polvilho doce",5.44,437.5,1830.7,1.29,12.25,9.38,80.54,1.16,0.49,30.45,5.84,0.081,23.32,1.77,97.8,53.58,0.035,0.14,0,,,0,0.03,0.067,0,0
100,"Verduras, hortaliças e derivados","Brócolis, cozido",92.62,24.6,103.1,2.13,0.46,,4.37,3.42,0.42,50.75,14.55,0.118,33.16,0.54,2.12,118.54,0.075,0.24,,,,0.043,0.03,0,0,42
101,"Verduras, hortaliças e derivados","Brócolis, cru",91.22,25.5,106.7,3.64,0.27,,4.03,2.88,0.84,85.87,29.57,0.26,78.46,0.61,3.33,322.11,0.057,0.48,,279.33,139.67,0.117,0.183,0.077,1.39,34.28
102,"Verduras, hortaliças e derivados","Cará, cozido",78.88,77.6,324.6,1.53,0.11,,18.85,2.63,0.62,5.17,14.84,0.022,27.8,0.31,1.01,203.25,0.113,0.24,,,,0.117,0,0.12,0,0
103,"Verduras, hortaliças e derivados","Cará, cru",73.69,95.6,400.1,2.28,0.14,,22.95,7.27,0.93,3.91,11.47,0.01,34.72,0.21,0,211.67,0.06,0.18,,,,0.113,0,0.02,0,8.79
104,"Verduras, hortaliças e derivados","Caruru, cru",87.62,34,142.4,3.2,0.58,,5.97,4.47,2.62,455.3,197.44,0.894,77.26,4.46,13.66,278.98,0.371,6.03,,1906,953,0,0.1,0.11,0,5.36
105,"Verduras, hortaliças e derivados","Catalonha, crua",91.76,23.9,99.9,1.87,0.28,,4.75,2.05,1.33,56.8,17.3,0.337,32,3.08,9.39,411.79,0.273,0.48,,,,0,0.03,0.36,1.537,7.33
106,"Verduras, hortaliças e derivados","Catalonha, refogada",87.43,63.4,265.5,1.95,4.81,,4.81,3.65,1,63.22,16.35,0.639,35.36,1.18,24.72,452.28,0.178,0.44,,850,425,0.043,0,0.03,0.6,0
107,"Verduras, hortaliças e derivados","Cebola, crua",88.92,39.4,164.9,1.71,0.08,,8.85,2.19,0.44,14,11.92,0.13,37.87,0.2,0.6,176.12,0.05,0.17,,,,0.043,0,0.143,0,4.67
108,"Verduras, hortaliças e derivados","Cebolinha, crua",93.88,19.5,81.7,1.87,0.35,,3.37,3.55,0.53,79.85,24.59,0.127,26.89,0.65,1.6,206.44,0.043,0.3,,134.42,67.21,0.033,0.043,0.083,0,31.78
109,"Verduras, hortaliças e derivados","Cenoura, cozida",91.66,29.9,124.9,0.85,0.22,,6.69,2.63,0.58,25.62,14.48,0.045,26.74,0.09,7.88,175.51,0.015,0.23,,612,306,0.07,0,0.06,2.683,0
110,"Verduras, hortaliças e derivados","Cenoura, crua",90.08,34.1,142.8,1.32,0.17,,7.66,3.18,0.87,22.54,11.23,0.05,27.85,0.18,3.33,314.81,0.047,0.22,,1326,663,0,0,0.05,0,5.12
111,"Verduras, hortaliças e derivados","Chicória, crua",95.14,13.8,57.9,1.14,0.14,,2.85,2.2,0.82,44.83,14.14,0.133,13.38,0.45,13.52,424.9,0.04,0.09,,,,0.03,0.103,0,0.683,6.54
112,"Verduras, hortaliças e derivados","Chuchu, cozido",94.56,18.5,77.6,0.41,0,,4.79,1.04,0.18,7.83,6.93,0.065,12.8,0.06,1.81,54.35,0,0.09,,,,0.03,0,0,0,5.57
113,"Verduras, hortaliças e derivados","Chuchu, cru",94.84,17,71,0.7,0.06,,4.14,1.28,0.27,11.51,7.23,0.08,17.74,0.17,0,125.99,0.03,0.1,,,,0,0,0,0,10.61
114,"Verduras, hortaliças e derivados","Coentro, folhas desidratadas",10.63,309.1,1293.2,20.88,10.39,,47.95,37.29,10.15,783.81,392.79,10.48,388.06,81.43,18.26,3222.77,4.093,4.7,,,,0.097,0.113,0.093,0,40.77
115,"Verduras, hortaliças e derivados","Couve, manteiga, crua",90.9,27.1,113.2,2.87,0.55,,4.33,3.12,1.35,130.87,34.66,1.017,48.67,0.45,6.17,403.45,0.06,0.4,,496,248,0.2,0.31,0.063,2.29,96.68
116,"Verduras, hortaliças e derivados","Couve, manteiga, refogada",81.53,90.3,378,1.67,6.59,,8.71,5.74,1.5,177.33,26.2,0.123,33.41,0.5,11.45,314.89,0.02,0.19,,384,192,0,0.05,0.07,0,76.94
117,"Verduras, hortaliças e derivados","Couve-flor, crua",92.77,22.6,94.4,1.91,0.21,,4.52,2.35,0.59,17.82,11.99,0.16,57.08,0.53,3.44,256.01,0.03,0.31,,2,1,0.03,0.093,0.1,0,36.05
118,"Verduras, hortaliças e derivados","Couve-flor, cozida",94.34,19.1,80,1.24,0.27,,3.88,2.13,0.28,16.14,5.44,0.102,25.43,0.13,1.79,80.49,0,0.26,,,,0.037,0,0,0,23.7
119,"Verduras, hortaliças e derivados","Espinafre, Nova Zelândia, cru",94.03,16.1,67.3,2,0.24,,2.57,2.1,1.16,97.51,81.64,0.71,25.43,0.36,17.09,336.01,0.06,0.27,,484,242,0.097,0.207,0.06,0,2.42
