codigo,descricao,grupo,energiaKcal,proteinaG,lipideosG,carboidratoG,fibraG,calcioMg,magnesioMg,manganesMg,fosforoMg,ferroMg,sodioMg,potassioMg,cobreMg,zincoMg,selenioMcg,retinolMcg,raeMcg,tiaminaMg,riboflavinaMg,niacinaMg,piridoxinaMg,vitaminaB12Mcg,folatoMcg,vitaminaDMcg,vitaminaEMg,vitaminaCMg,colesterolMg,gordurasSaturadasG,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasTransG,acucaresG,acucaresAdicionadosG
8102101-9,"Salsicha No Varejo, molho branco",,321.6,11.3,29.04,3.24,0.3,10.6,12.8,0.051,90.8,1.11,748.8,217.4,0.055,1.54,11.56,,3.48,0.29,0.131,2.889,0.059,0.344,3.8,0.56,0.46,1.4,56.8,10.373,13.749,3.135,2.016,1.92,2.16
8102101-10,"Salsicha No Varejo, ao alho e oleo",,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102101-11,"Salsicha No Varejo, com manteiga/oleo",,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102101-13,"Salsicha No Varejo, ensopado",,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102101-99,Salsicha No Varejo,,321.1,9.72,29.51,3.6,,16.49,8.28,0.008,78.67,0.81,1174.71,108.81,0.045,1.34,9.92,12.99,12.99,0.084,0.093,2.134,0.135,0.597,1.62,0.317,0.139,,52.95,10.863,12.599,2.976,0.802,3.15,3.6
8102204-1,"Linguica (Suína, Bovina, Mista, Etc), cru(a)",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
8102204-2,"Linguica (Suína, Bovina, Mista, Etc), cozido(a)",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
8102204-3,"Linguica (Suína, Bovina, Mista, Etc), grelhado(a)/brasa/churrasco",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
8102204-4,"Linguica (Suína, Bovina, Mista, Etc), assado(a)",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
8102204-5,"Linguica (Suína, Bovina, Mista, Etc), frito(a)",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
8102204-6,"Linguica (Suína, Bovina, Mista, Etc), empanado(a)/a milanesa",,396,13.8,36.25,2.7,,10,12,0.037,107,1.13,805,189,0.04,1.87,14.4,,,0.357,0.147,3.367,0.05,0.43,2,0.7,0.22,,71,12.96,17.18,3.9,2.52,1.34,2.7
