codigo,descricao,grupo,energiaKcal,proteinaG,lipideosG,carboidratoG,fibraG,calcioMg,magnesioMg,manganesMg,fosforoMg,ferroMg,sodioMg,potassioMg,cobreMg,zincoMg,selenioMcg,retinolMcg,raeMcg,tiaminaMg,riboflavinaMg,niacinaMg,piridoxinaMg,vitaminaB12Mcg,folatoMcg,vitaminaDMcg,vitaminaEMg,vitaminaCMg,colesterolMg,gordurasSaturadasG,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasTransG,acucaresG,acucaresAdicionadosG
6802201-99,Tangerina,,53,0.81,0.31,13.34,1.8,37,12,0.04,20,0.15,2,166,0.04,0.07,0.1,,34.08,0.06,0.04,0.38,0.08,,16,,0.2,26.7,,0.04,0.06,0.07,,10.58,
6802202-99,Mexerica,,53,0.81,0.31,13.34,1.8,37,12,0.04,20,0.15,2,166,0.04,0.07,0.1,,34.08,0.06,0.04,0.38,0.08,,16,,0.2,26.7,,0.04,0.06,0.07,,10.58,
6802217-99,Bergamota,,53,0.81,0.31,13.34,1.8,37,12,0.04,20,0.15,2,166,0.04,0.07,0.1,,34.08,0.06,0.04,0.38,0.08,,16,,0.2,26.7,,0.04,0.06,0.07,,10.58,
6802218-99,Mimosa,,53,0.81,0.31,13.34,1.8,37,12,0.04,20,0.15,2,166,0.04,0.07,0.1,,34.08,0.06,0.04,0.38,0.08,,16,,0.2,26.7,,0.04,0.06,0.07,,10.58,
6802223-99,Tanja,,53,0.81,0.31,13.34,1.8,37,12,0.04,20,0.15,2,166,0.04,0.07,0.1,,34.08,0.06,0.04,0.38,0.08,,16,,0.2,26.7,,0.04,0.06,0.07,,10.58,
6802227-99,Maricota,,53,0.81,0.31,13.34,1.8,37,12,0.04,20,0.15,2,166,0.04,0.07,0.1,,34.08,0.06,0.04,0.38,0.08,,16,,0.2,26.7,,0.04,0.06,0.07,,10.58,
6802407-99,Laranjinha Japonesa,,47,0.94,0.12,11.75,2.35,40,10,0.03,14,0.1,,181,0.05,0.07,0.5,,11.21,0.09,0.04,0.28,0.06,,30,,0.25,53.2,,0.02,0.02,0.03,,8.37,
6802501-99,Cana de Acucar,,73.6,,0.05,19.97,,5.6,1,,,,18.34,1,0.01,0.11,0.18,,,0.02,,,,,,,,,,,,,,9.83,19.97
6802601-99,Abacaxi,,48,0.54,0.12,12.63,1.4,13,12,1.18,8,0.28,1,115,0.1,0.1,0.1,5.67,2.83,0.08,0.03,0.49,0.11,,15,,,36.2,,0.01,0.01,0.04,,9.26,
6802602-99,Ananas,,48,0.54,0.12,12.63,1.4,13,12,1.18,8,0.28,1,115,0.1,0.1,0.1,5.67,2.83,0.08,0.03,0.49,0.11,,15,,,36.2,,0.01,0.01,0.04,,9.26,
6802701-99,Abacate,,120,2.23,10.06,7.82,5.6,10,24,0.1,40,0.17,2,351,0.31,0.4,0.4,,7.04,0.02,0.05,0.67,0.08,,35,,2.66,17.4,,1.96,5.51,1.68,,2.42,
6802801-99,Caqui,,70,0.58,0.19,18.59,3.6,8,9,0.36,17,0.15,1,161,0.11,0.11,0.6,,81.38,0.03,0.02,0.1,0.1,,8,,0.73,7.5,,0.02,0.04,0.04,,12.54,
6802901-99,Figo,,74,0.75,0.3,19.18,2.9,35,17,0.13,14,0.37,1,232,0.07,0.15,0.2,,7.08,0.06,0.05,0.4,0.11,,6,,0.11,2,,0.06,0.07,0.14,,6.9,
6803001-99,Maca,,52,0.26,0.17,13.81,2.4,6,5,0.04,11,0.12,1,107,0.03,0.04,,,2.71,0.02,0.03,0.09,0.04,,3,,0.21,4.6,,0.03,0.01,0.05,,10.4,
6803101-99,Mamao,,39,0.61,0.14,9.81,1.8,24,10,0.01,5,0.1,3,257,0.02,0.07,0.6,,54.71,0.03,0.03,0.34,0.02,,38,,0.73,61.8,,0.04,0.04,0.03,,4.86,
6803108-99,Papaia,,39,0.61,0.14,9.81,1.8,24,10,0.01,5,0.1,3,257,0.02,0.07,0.6,,54.71,0.03,0.03,0.34,0.02,,38,,0.73,61.8,,0.04,0.04,0.03,,4.86,
6803201-99,Manga,,65,0.51,0.27,17,1.76,10,9,0.03,11,0.13,2,156,0.11,0.04,0.6,,38.25,0.06,0.06,0.58,0.13,,14,,1.12,27.7,,0.07,0.1,0.05,,12.73,
6803215-99,Manguito,,65,0.51,0.27,17,1.76,10,9,0.03,11,0.13,2,156,0.11,0.04,0.6,,38.25,0.06,0.06,0.58,0.13,,14,,1.12,27.7,,0.07,0.1,0.05,,12.73,
6803301-99,Maracuja,,97,2.2,0.7,23.38,10.4,12,29,0.2,68,1.6,28,348,0.09,0.1,0.6,,63.63,,0.13,1.5,0.1,,14,,0.02,30,,0.06,0.09,0.41,,10.4,
6803401-99,Melancia,,30,0.61,0.15,7.55,0.4,7,10,0.04,11,0.24,1,112,0.04,0.1,0.4,,28.5,0.03,0.02,0.18,0.05,,3,,0.05,8.1,,0.02,0.04,0.05,,6.21,
6803501-99,Melao,,36,0.54,0.14,9.09,0.8,6,10,0.03,11,0.17,18,228,0.02,0.09,0.7,,2.5,0.04,0.01,0.42,0.09,,19,,0.03,18,,0.04,,0.06,,8.12,
6803601-99,Pera,,58,0.38,0.12,15.46,3.16,9,7,0.05,11,0.17,1,119,0.08,0.1,0.1,,1.17,0.01,0.03,0.16,0.03,,7,,0.21,4.2,,0.01,0.03,0.03,,9.79,
6803701-99,Pessego,,39,0.91,0.25,9.54,1.5,6,9,0.06,20,0.25,,190,0.07,0.17,0.1,,16.29,0.02,0.03,0.81,0.03,,4,,0.71,6.6,,0.02,0.07,0.09,,8.38,
6803801-99,Fruta de Conde,,74,1.65,0.62,17.7,2.3,8,16,0.08,26,0.3,4,269,0.07,0.18,20,,,0.09,0.12,0.57,0.21,,18,,,11.5,,0.07,0.01,0.09,,3.39,
6803802-99,Pinha (Fruta de Conde),,74,1.65,0.62,17.7,2.3,8,16,0.08,26,0.3,4,269,0.07,0.18,20,,,0.09,0.12,0.57,0.21,,18,,,11.5,,0.07,0.01,0.09,,3.39,
6803803-99,Ata,,74,1.65,0.62,17.7,2.3,8,16,0.08,26,0.3,4,269,0.07,0.18,20,,,0.09,0.12,0.57,0.21,,18,,,11.5,,0.07,0.01,0.09,,3.39,
6803901-99,Uva,,69,0.72,0.16,18.1,0.9,10,7,0.07,20,0.36,2,191,0.13,0.07,0.1,,3.29,0.07,0.07,0.19,0.09,,2,,0.38,10.8,,0.05,0.01,0.05,,15.48,
6803912-99,Uva Passa,,299,3.07,0.46,79.18,3.7,50,32,0.299,101,1.88,11,749,0.318,0.22,0.6,,,0.106,0.125,0.766,0.174,,5,,0.11,2.3,,0.058,0.051,0.037,,57.88,
6804001-99,Jenipapo,,113,5.2,0.3,25.7,9.4,40,,,58,3.6,,,,,,30,,0.04,0.04,0.5,,,,,,33,,,,,,,
6804101-99,Jaca,,94,1.47,0.3,24.01,1.6,34,37,0.2,36,0.6,3,303,0.19,0.42,0.6,,14.85,0.03,0.11,0.4,0.11,,14,,0.1,6.7,,0.06,0.04,0.09,,8.08,
6804201-99,Goiaba,,68,2.55,0.95,14.32,5.4,18,22,0.15,40,0.26,2,417,0.23,0.23,0.6,,31.17,0.07,0.04,1.08,0.11,,49,,0.73,228.3,,0.27,0.09,0.4,,8.82,
6804203-99,Araca Acu (Goiaba),,68,2.55,0.95,14.32,5.4,18,22,0.15,40,0.26,2,417,0.23,0.23,0.6,,31.17,0.07,0.04,1.08,0.11,,49,,0.73,228.3,,0.27,0.09,0.4,,8.82,
6804301-99,Ameixa,,46,0.7,0.28,11.42,1.4,6,7,0.05,16,0.17,,157,0.06,0.1,,,17.29,0.03,0.03,0.42,0.03,,5,,0.28,9.5,,0.02,0.13,0.04,,9.93,
6804401-99,Caju,,43,1,0.3,10.3,1.7,1,10,0.12,16,0.2,3,124,0.07,0.1,,,7,,,,,,,,,,,,,,,,
6804501-99,Cereja,,63,1.06,0.2,16.01,2.1,13,11,0.07,21,0.36,,222,0.06,0.07,,,3.17,0.027,0.033,0.154,0.049,,4,,0.06,7,,0.038,0.047,0.052,,12.82,
6804601-99,Caja Manga,,46,1.3,,11.4,2.6,13,11,0.05,24,0.2,1,119,0.02,0.2,,,,0.11,,,0.05,,,,,26.7,,,,,,,
6804602-99,Cajarana,,46,0.2,0.1,12.4,1.1,56,,,67,0.3,,,,,,34,,0.05,0.02,1.4,,,,,,36,,,,,,,
6804701-99,Tapereba,,70,0.8,2.1,13.8,1,26,,,31,2.2,,,,,,23,,0.08,0.06,0.5,,,,,,28,,,,,,,
6804702-99,Acaja (Tabereba),,46,1.3,,11.4,2.6,13,11,0.05,24,0.2,1,119,0.02,0.2,,,,0.11,,,0.05,,,,,26.7,,,,,,,
6804801-99,Carambola,,31,1.04,0.33,6.73,2.8,3,10,0.04,12,0.08,2,133,0.14,0.12,0.6,,3.08,0.01,0.02,0.37,0.02,,12,,0.15,34.4,,0.02,0.03,0.18,,3.75,
6804901-99,Jaboticaba,,73,0.66,0.5,18.4,7,38,5,1,39,1.6,6,280,0.06,0.11,0.6,,29.92,0.07,0.06,0.5,0.23,,6,,1,36,,0.02,0.08,0.25,,7.48,
6805001-99,Graviola,,62,0.8,0.2,15.8,1.9,40,23,0.08,19,0.2,4,250,0.04,0.1,,,,0.17,0.12,,0.03,,,,,19.1,,,0.1,,,,
6805201-99,Morango,,32,0.67,0.3,7.68,2,16,13,0.39,24,0.41,1,153,0.05,0.14,0.4,,0.58,0.02,0.02,0.39,0.05,,24,,0.28,58.8,,0.02,0.04,0.16,,4.9,
6805301-99,Jambo,,27,0.9,0.1,6.5,5.1,14,14,0.05,18,0.1,22,135,0.02,0.1,,,,0.08,,1.18,,,,,,3.8,,,,,,,
6805401-99,Atemoia,,74,1.65,0.62,17.7,2.3,8,16,0.08,26,0.3,4,269,0.07,0.18,20,,,0.09,0.12,0.57,0.21,,18,,,11.5,,0.07,0.01,0.09,,3.39,
6805601-99,Mangaba,,43,0.7,0.3,10.5,0.8,41,,,18,2.8,,,,,,30,,0.04,0.04,0.5,,,,,,33,,,,,,,
6805701-99,Araca,,68,2.55,0.95,14.32,5.4,18,22,0.15,40,0.26,2,417,0.23,0.23,0.6,,31.17,0.07,0.04,1.08,0.11,,49,,0.73,228.3,,0.27,0.09,0.4,,8.82,
6805801-99,Nespera,,47,0.43,0.2,12.14,1.7,16,13,0.15,27,0.28,1,266,0.04,0.05,0.6,,85.92,0.02,0.02,0.18,0.1,,14,,0.89,1,,0.04,0.01,0.09,,6.3,
6805901-99,Fruta Pao,,103,1.07,0.23,27.12,4.9,17,25,0.06,30,0.54,2,490,0.08,0.12,0.6,,,0.11,0.03,0.9,0.1,,14,,0.1,29,,0.05,0.03,0.07,,2.9,
6806001-99,Sapoti,,96,0.7,0.1,25.9,9.9,29,,,6,1.2,,,,,,4,,0.01,0.01,0.2,,,,,,13,,,,,,,
6806101-99,Uxi,,252,2.2,10.1,38.2,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6806201-99,Tamarindo,,239,2.8,0.6,62.5,5.1,74,92,0.15,113,2.8,28,628,0.09,0.1,1.3,,1.5,0.43,0.15,1.94,0.07,,14,,0.1,3.5,,0.27,0.18,0.06,,,
6806301-99,Cacau,,74,1,0.1,19.4,2.2,12,25,0.04,9,0.3,1,72,0.15,0.6,,,,0.25,,,0.04,,,,,13.6,,,,,,,
6806401-99,Pitomba,,66,0.83,0.44,16.53,1.3,5,10,0.055,31,0.31,1,171,0.148,0.07,0.6,,,0.011,0.065,0.603,0.1,,14,,0.07,71.5,,0.099,0.12,0.132,,15,
6806501-99,Bacuri,,105,1.9,2,22.8,7.4,20,,,36,2.2,,,,,,30,,0.04,0.04,0.5,,,,,,33,,,,,,,
6806601-99,Inga,,60,1,0.1,15.5,1.2,21,,,20,0.9,,,,,,,,0.04,0.06,0.4,,,,,,9,,,,,,,
6806701-99,Pequi,,152,1.5,13.4,6.3,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6806801-99,Pitanga,,41,0.9,0.2,10.2,3.2,18,12,0.36,13,0.4,2,113,0.08,0.4,,,77,0.03,0.1,,,,,,,24.9,,,,,,,
6806901-99,Ciriguela,,76,1.4,0.4,18.9,3.9,27,18,0.06,49,0.4,2,248,0.12,0.5,,,,0.14,,,,,,,,27,,0.2,,0.1,,,
6807001-99,Murici,,66,0.9,1.3,14.4,2.2,33,,,17,2,,,,,,7,,0.02,,0.4,0.04,,,,,84,,,,,,,
6807101-99,Umbu,,37,0.8,,9.4,2,12,11,0.03,13,0.1,,152,0.04,0.4,,,,0.05,0.06,,0.03,,,,,24.1,,,,,,,
6807103-99,Imbu,,37,0.8,,9.4,2,12,11,0.03,13,0.1,,152,0.04,0.4,,,,0.05,0.06,,0.03,,,,,24.1,,,,,,,
6807202-99,Biriba,,74,1.65,0.62,17.7,2.3,8,16,0.08,26,0.3,4,269,0.07,0.18,20,,,0.09,0.12,0.57,0.21,,18,,,11.5,,0.07,0.01,0.09,,3.39,
6807301-99,Cupuacu,,49,1.2,1,10.4,3.1,13,18,0.07,21,0.5,3,331,0.07,0.3,,,,0.37,0.04,4.34,0.07,,,,,24.5,,0.4,0.2,0.1,,,
6807401-99,Nectarina,,44,1.06,0.32,10.55,1.7,6,9,0.054,26,0.28,,201,0.086,0.17,,,16.58,0.034,0.027,1.125,0.025,,5,,0.7,5.4,,0.025,0.088,0.113,,7.81,
6807501-99,Mari,,281.1,2.7,21.1,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6807601-99,Roma,,56,0.4,,15.1,0.4,5,13,0.13,40,0.3,1,485,0.19,0.7,,,,0.12,0.17,,0.05,,,,,8.1,,,,,,,
6807701-99,Acerola,,32,0.4,0.3,7.69,1.1,12,18,0.09,11,0.2,7,146,0.09,0.1,0.6,,121,0.02,0.06,0.4,0.01,,14,,0.13,1677.6,,0.07,0.08,0.09,,,
6807801-99,Kiwi,,61,1.14,0.52,14.66,3,34,17,0.1,34,0.31,3,312,0.13,0.14,0.2,,4.33,0.03,0.03,0.34,0.06,,25,,1.31,92.7,,0.03,0.05,0.29,,8.97,
6808001-99,Abiu,,62,0.8,0.7,14.9,1.7,6,9,0.08,20,0.2,,128,0.09,0.1,,,,,0.04,,0.05,,,,,10.3,,0.3,0.1,0.1,,,
6808201-99,Jurubeba,,126,4.4,3.9,23.1,1.2,151,65,0.52,155,0.9,1,619,1.16,0.6,,,,0.13,0.02,,0.2,,,,,13.8,,0.5,0.5,2.1,,,
6808401-99,Fruta (Nao Especificada),,89,1.09,0.33,22.84,2.6,5,27,0.27,22,0.26,1,358,0.08,0.15,1,,3.21,0.03,0.07,0.67,0.37,,20,,0.13,8.7,,0.11,0.03,0.07,,12.23,
6808601-99,Maca Organica,,52,0.26,0.17,13.81,2.4,6,5,0.04,11,0.12,1,107,0.03,0.04,,,2.71,0.02,0.03,0.09,0.04,,3,,0.21,4.6,,0.03,0.01,0.05,,10.4,
6808901-99,Acerola Organica,,32,0.4,0.3,7.69,1.1,12,18,0.09,11,0.2,7,146,0.09,0.1,0.6,,121,0.02,0.06,0.4,0.01,,14,,0.13,1677.6,,0.07,0.08,0.09,,,
6809901-99,Amora,,43,1.39,0.49,9.61,5.3,29,20,0.646,22,0.62,1,162,0.165,0.53,0.4,21.33,10.67,0.02,0.026,0.646,0.03,,25,,1.43,21,,0.014,0.047,0.28,,4.88,
6810201-99,Jamelao (Jamburao),,73,0.66,0.5,18.4,7,38,5,1,39,1.6,6,280,0.06,0.11,0.6,,29.92,0.07,0.06,0.5,0.23,,6,,1,36,,0.02,0.08,0.25,,7.48,
6900302-99,Demerara,,387,,,99.98,,1,,,,0.01,,2,,,0.6,,,,0.02,,,,,,,,,,,,,99.91,99.98
6900304-99,Acucar Mascavo,,380,0.12,,98.09,,83,9,0.064,4,0.71,28,133,0.047,0.03,1.2,,,,,0.11,0.041,,1,,,,,,,,,97.02,98.09
6900401-99,Rapadura,,296,,,76.6,,102,115,2.62,74,5.4,4,395,0.84,0.3,,,,,0.05,,0.2,,,,,,,,,,,42.2,60.8
6900402-99,Alfenim de Cana,,296,,,76.6,,102,115,2.62,74,5.4,4,395,0.84,0.3,,,,,0.05,,0.2,,,,,,,,,,,42.2,60.8
6900403-99,Batida (Rapadura),,380,0.12,,98.09,,83,9,0.064,4,0.71,28,133,0.047,0.03,1.2,,,,,0.11,0.041,,1,,,,,,,,,97.02,98.09
6900501-99,Sorvete de Qualquer Sabor Industrializado,,206,3.6,11,25.13,0.87,121.67,19,0.052,105.67,0.37,78.67,215.65,0.06,0.65,2.03,116,117.58,0.041,0.225,0.153,0.05,0.357,8.66,0.617,0.3,0.63,40.67,6.793,3.049,0.438,0.372,18.89,20.03
6900502-99,Picole de Qualquer Sabor Industrializado,,79,,0.24,19.23,,,1,,,0.54,7,15,,0.15,0.2,,,,,,,,,,,0.7,,0.013,0.051,0.016,,13.67,19.23
6900601-99,Chiclete,,396,,,98.9,0.1,3,1,0.01,1,0.4,44,5,0.012,,0.8,,,0.006,0.013,0.01,0.005,,,,,,,,,,,58.97,60.06
6900603-99,Bala,,394,,0.2,98,,3,3,0.01,3,0.3,38,5,0.029,0.01,0.6,,,0.004,0.003,0.007,0.003,,,,,,,,,,,98.2,98
6900604-99,Caramelo (Bala),,382,4.6,8.1,77,,138,17,0.011,114,0.14,245,214,0.018,0.44,1.8,11,11.17,0.103,0.256,0.148,0.056,0.3,4,0.02,0.46,0.4,7,2.476,1.542,3.478,0.044,46.75,68.2
6900605-99,Drops,,394,,0.2,98,,3,3,0.01,3,0.3,38,5,0.029,0.01,0.6,,,0.004,0.003,0.007,0.003,,,,,,,,,,,98.2,98
6900606-99,Pastilha,,396,,,98.9,0.1,3,1,0.01,1,0.4,44,5,0.012,,0.8,,,0.006,0.013,0.01,0.005,,,,,,,,,,,58.97,60.06
6900607-99,Pirulito,,394,,0.2,98,,3,3,0.01,3,0.3,38,5,0.029,0.01,0.6,,,0.004,0.003,0.007,0.003,,,,,,,,,,,98.2,98
6900609-99,Goma de Mascar,,396,,,98.9,0.1,3,1,0.01,1,0.4,44,5,0.012,,0.8,,,0.006,0.013,0.01,0.005,,,,,,,,,,,58.97,60.06
6900610-99,Jujuba,,375,,0.05,93.55,0.2,3,2,0.035,4,0.13,50,37,0.028,0.05,1.1,,,0.004,0.011,0.008,0.004,,,,,,,,,,,46.56,84.42
6900701-99,Tablete de Chocolate,,535,7.65,29.66,59.4,3.4,189,63,0.471,208,2.35,79,372,0.491,2.3,4.5,56,56.67,0.112,0.298,0.386,0.036,0.75,11,,0.51,,23,20.78,15.869,1.256,0.09,54.8,46.99
6900702-99,Barra de Chocolate,,535,7.65,29.66,59.4,3.4,189,63,0.471,208,2.35,79,372,0.491,2.3,4.5,56,56.67,0.112,0.298,0.386,0.036,0.75,11,,0.51,,23,20.78,15.869,1.256,0.09,54.8,46.99
6900706-99,Confete,,492,4.33,21.13,71.19,2.8,105,44,0.329,146,1.11,61,261,0.344,1.61,3.3,61,61,0.079,0.213,0.27,0.025,0.53,8,,0.36,0.5,14,13.08,5.183,0.921,0.167,63.3,57.75
6900801-99,Chocolate em Po de Qualquer Marca,,364.2,2.83,3.55,85.53,1.66,149.79,38.71,0.194,132.41,0.78,350.14,840.69,0.193,0.81,3.87,1.08,1.09,0.051,0.176,0.192,0.048,0.21,4.33,,1.155,0.14,0.45,0.802,1.537,1.043,0.367,80.44,77.59
6900818-99,Ovomaltine,,388,9.17,5.19,75.13,1.98,1235,71,0.27,847,9.52,353,1235,0.32,0.71,1.6,529,529,0.53,0.6,7.05,0.11,1.32,,1.92,0.04,105.82,5.82,1.62,2.68,0.74,0.99,70.81,51.34
6900821-99,Achocolatado em Po,,400,4.55,2.27,90.28,4.5,455,53,0.71,86,,136,280,0.91,6.82,1.9,,,0.01,0.06,0.2,0.91,,4,,0.04,27.3,,2.27,,,,77.39,77.24
6900822-99,Toddynho,,83.3,3.18,3.4,10.38,0.8,112.44,13.05,0.077,101.39,0.24,60.23,167.65,0.065,0.41,1.91,26.1,26.52,0.037,0.163,0.125,0.04,0.331,5.02,1.004,0.06,0.9,12.05,2.112,0.994,0.124,0.121,10.14,5.09
6900901-99,Bombom de Qualquer Marca,,373,,0.02,93.18,,3,,,,0.01,11,4,0.003,0.04,0.6,,,0.005,0.016,,,,,,,,,,,,,84.44,93.18
6900904-99,Trufa,,487.9,3.57,36.26,49.06,4.55,35,89.79,0.618,111.74,2.42,14.32,293.23,0.542,1.29,3.37,97.82,99.47,0.046,0.086,0.337,0.031,0.035,10.76,0.944,0.516,0.08,32.32,20.832,11.775,1.885,0.882,41.35,40.34
6901001-99,Geleia de Frutas de Qualquer Marca ou Sabor,,278,0.37,0.07,68.86,1.1,20,4,0.04,19,0.49,32,77,0.1,0.06,2,,,0.016,0.076,0.036,0.02,,11,,0.12,8.8,,0.01,0.038,,,48.9,65.51
6901002-99,Mousse de Qualquer Sabor (Geléia),,331.9,5.09,21.87,32.19,1.18,49.08,28.74,0.17,97.84,0.97,49.69,214.52,0.148,0.71,9.32,160.19,162.66,0.039,0.211,0.123,0.051,0.379,15.95,0.98,0.697,0.25,159.21,12.585,6.916,0.941,0.464,29.84,28.14
6901101-99,Geleia de Mocoto,,120.2,3.04,,27.99,,4.29,1.47,,1.38,0.04,9.01,1.81,0.08,,1.57,,,,0.01,,,,1.07,,,,,,,,,27.97,27.99
6901201-99,Doce de Frutas em Pasta de Qualquer Sabor,,291.3,0.77,0.29,74.28,1.62,6.1,6.6,0.05,12,0.09,0.6,126.5,0.07,0.07,0.6,,9.35,0.02,0.03,0.33,0.03,,14.7,,0.22,68.49,,0.08,0.03,0.12,,72.58,69.99
6901203-99,Pasta de Amendoim,,588,25.09,50.39,19.56,6,43,154,1.466,358,1.87,459,649,0.473,2.91,5.6,,,0.073,0.105,13.403,0.543,,74,,8.99,,,10.51,24.216,14.161,,9.22,4.9
6901204-99,Pessegada,,77,0.54,0.14,19.79,2.2,3,5,0.05,12,0.27,6,94,0.06,0.09,0.3,,38.17,0.01,0.03,0.61,0.02,,3,,0.73,2.8,,,0.02,0.02,,16.06,11.21
6901206-99,Marmelada,,278,0.37,0.07,68.86,1.1,20,4,0.04,19,0.49,32,77,0.1,0.06,2,,,0.02,0.08,0.04,0.02,,11,,0.12,8.8,,0.01,0.04,,,48.9,65.51
6901209-99,Figada,,88,0.38,0.1,22.9,2.2,27,10,0.08,10,0.28,1,99,0.11,0.11,0.2,,1.83,0.02,0.04,0.43,0.07,,2,,0.12,1,,0.02,0.02,0.05,,16.75,13.3
6901211-99,Goiabada,,291.3,0.77,0.29,74.28,1.62,6.1,6.6,0.05,12,0.09,0.6,126.5,0.07,0.07,0.6,,9.35,0.02,0.03,0.33,0.03,,14.7,,0.22,68.49,,0.08,0.03,0.12,,72.58,69.99
6901214-99,Caju em Pasta,,291.3,0.77,0.29,74.28,1.62,6.1,6.6,0.05,12,0.09,0.6,126.5,0.07,0.07,0.6,,9.35,0.02,0.03,0.33,0.03,,14.7,,0.22,68.49,,0.08,0.03,0.12,,72.58,69.99
6901224-99,Mariola,,291.3,0.77,0.29,74.28,1.62,6.1,6.6,0.05,12,0.09,0.6,126.5,0.07,0.07,0.6,,9.35,0.02,0.03,0.33,0.03,,14.7,,0.22,68.49,,0.08,0.03,0.12,,72.58,69.99
6901301-99,Doce de Frutas em Calda de Qualquer Sabor,,77,0.54,0.14,19.79,2.2,3,5,0.05,12,0.27,6,94,0.06,0.09,0.3,,38.17,0.01,0.03,0.61,0.02,,3,,0.73,2.8,,,0.02,0.02,,16.06,11.21
6901401-99,Doce de Frutas Cristalizado de Qualquer Sabor,,291.3,0.77,0.29,74.28,1.62,6.1,6.6,0.05,12,0.09,0.6,126.5,0.07,0.07,0.6,,9.35,0.02,0.03,0.33,0.03,,14.7,,0.22,68.49,,0.08,0.03,0.12,,72.58,69.99
6901501-99,Melado,,296,,,76.6,,102,115,2.62,74,5.4,4,395,0.84,0.3,,,,,0.05,,0.2,,,,,,,,,,,42.2,60.8
6901602-99,Mel,,304,0.3,,82.4,0.2,6,2,0.08,4,0.42,4,52,0.04,0.22,0.8,,,,0.04,0.12,0.02,,2,,,0.5,,,,,,82.13,82.4
6901701-99,Gelatina de Qualquer Sabor,,278,0.37,0.07,68.86,1.1,20,4,0.04,19,0.49,32,77,0.1,0.06,2,,,0.016,0.076,0.036,0.02,,11,,0.12,8.8,,0.01,0.038,,,48.9,65.51
6901801-99,Adocante Artificial,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,
6902004-99,Merengue,,358.3,6.21,0.1,85.89,0,4.87,6.27,0.007,8.56,0.07,94.73,164.82,0.014,0.02,11.9,,,0.002,0.266,0.06,0.003,0.051,2.28,,,,,,,,,85.54,85.21
6902301-99,Schimier de Cana,,296,,,76.6,,102,115,2.62,74,5.4,4,395,0.84,0.3,,,,,0.05,,0.2,,,,,,,,,,,42.2,60.8
6902401-99,Fruta Seca ou Desidratada,,240,2.18,0.38,63.88,7.1,43,41,0.299,69,0.93,2,732,0.281,0.44,0.3,,39.08,0.051,0.186,1.882,0.205,,4,,0.37,0.6,,0.088,0.053,0.062,,38.12,
6902402-99,Passa,,299,3.07,0.46,79.18,3.7,50,32,0.299,101,1.88,11,749,0.318,0.22,0.6,,,0.106,0.125,0.766,0.174,,5,,0.11,2.3,,0.058,0.051,0.037,,57.88,
6902601-99,Pudim de Qualquer Sabor,,131.1,5.58,5.07,15.44,,89.2,9.49,0.011,107.71,0.35,60.62,131.17,0.011,0.55,10.95,64.57,65.21,0.047,0.265,0.092,0.057,0.597,15.36,1.016,0.321,,122.51,2.136,1.655,0.516,0.077,15.9,12.02
6902607-99,Danette Pudim,,131.1,5.58,5.07,15.44,,89.2,9.49,0.011,107.71,0.35,60.62,131.17,0.011,0.55,10.95,64.57,65.21,0.047,0.265,0.092,0.057,0.597,15.36,1.016,0.321,,122.51,2.136,1.655,0.516,0.077,15.9,12.02
6902701-99,Manjar,,285,8.2,10.74,40.14,0.34,201.26,23.38,0.196,206.83,0.55,129.47,289.85,0.038,0.97,14.99,85.82,86.88,0.067,0.378,0.19,0.083,0.476,17.33,0.899,0.368,1.64,118.44,6.627,2.681,0.557,0.201,38.63,31.61
6902901-99,Cuscuz,,128.3,4.35,0.22,26.42,1.71,10.74,15.82,0.27,58.01,0.37,261.48,57.49,0.09,0.28,3.75,,0.06,0.06,0.03,1.19,0.04,,6.82,,0.05,,,0.04,0.03,0.09,,0.72,
6902902-99,Cuscuz de Tapioca,,117,4.33,4.1,15.51,0.03,102.17,9.79,0.011,98.87,0.23,100.38,137.7,0.012,0.48,7.16,45.19,45.71,0.046,0.222,0.1,0.046,0.513,10.01,1.005,0.183,,63.11,1.988,1.208,0.346,0.097,13.2,8.6
6903001-99,Maria Mole,,444.9,1.64,19.94,68.84,2.59,9.93,28.32,1.393,61.18,1.11,148.99,194.42,0.181,1.03,9.72,,,0.018,0.023,0.268,0.153,,5.11,,0.226,0.89,,17.679,0.85,0.218,,61.43,61.91
6903101-99,Cocada,,404.8,1.01,12.46,75.65,1.58,8.3,17.68,0.87,37.45,0.68,107.35,119.68,0.11,0.71,6.25,,,0.02,0.02,0.17,0.1,,2.8,,0.14,0.25,,11.01,0.53,0.14,,62.21,71.44
6903102-99,Quebra Queixo,,404.8,1.01,12.46,75.65,1.58,8.3,17.68,0.87,37.45,0.68,107.35,119.68,0.11,0.71,6.25,,,0.02,0.02,0.17,0.1,,2.8,,0.14,0.25,,11.01,0.53,0.14,,62.21,71.44
